lag,R2,coef,p-value
0,0.5682879062471271,0.0004975434429449266,2.894313086526194e-23
1,0.616546998017671,0.0005157456213021935,1.0885111033008867e-25
2,0.6500074669080524,0.0005299940683589688,2.7237425497195132e-27
3,0.6571942052556008,0.0005340800548759028,4.2804594556535874e-27
4,0.6422195043619567,0.0005307682163622283,2.108101548301534e-25
5,0.5947730025739806,0.0005143753923388909,6.323874365502889e-22
6,0.4944080851475342,0.0005031078958216328,1.7360624741626067e-16
7,0.37070924357727975,0.0004788387601412452,2.2911365826155385e-11
8,0.2560991258414389,0.00042826292049280026,1.4419108339763875e-07
9,0.1400417497188038,0.00035019910713699994,0.0002196531068823703
